user_id,register_date,location,age
177,2020-01-12 09:33:16.000000 UTC,Barat,15
285,2020-02-03 04:36:32.000000 UTC,Barat,15
457,2020-02-28 04:41:06.000000 UTC,Barat,15
899,2020-04-02 02:20:44.000000 UTC,Barat,15
1123,2020-04-13 16:31:59.000000 UTC,Barat,15
1846,2020-06-14 05:14:17.000000 UTC,Barat,15
2050,2020-07-04 06:34:32.000000 UTC,Barat,15
2117,2020-07-08 08:25:17.000000 UTC,Barat,15
2403,2020-08-03 20:26:03.000000 UTC,Barat,15
3143,2020-10-04 15:28:29.000000 UTC,Barat,15
3359,2020-10-27 22:58:36.000000 UTC,Barat,15
3543,2020-11-07 02:29:24.000000 UTC,Barat,15
3611,2020-11-10 14:01:46.000000 UTC,Barat,15
4099,2020-12-28 13:46:18.000000 UTC,Barat,15
4190,2021-01-03 07:17:44.000000 UTC,Barat,15
5088,2021-03-12 04:39:23.000000 UTC,Barat,15
5324,2021-04-02 08:41:22.000000 UTC,Barat,15
5457,2021-04-08 16:49:59.000000 UTC,Barat,15
5543,2021-04-18 09:33:58.000000 UTC,Barat,15
5577,2021-04-21 15:51:05.000000 UTC,Barat,15
5591,2021-04-25 00:18:38.000000 UTC,Barat,15
5612,2021-04-30 09:56:16.000000 UTC,Barat,15
6207,2021-06-09 14:53:31.000000 UTC,Barat,15
6342,2021-07-01 14:08:50.000000 UTC,Barat,15
6369,2021-07-03 00:28:39.000000 UTC,Barat,15
6470,2021-07-06 02:19:35.000000 UTC,Barat,15
6768,2021-08-04 18:03:15.000000 UTC,Barat,15
7585,2021-10-15 17:51:35.000000 UTC,Barat,15
7614,2021-10-22 14:58:18.000000 UTC,Barat,15
7627,2021-10-24 07:13:23.000000 UTC,Barat,15
8195,2021-12-11 05:51:28.000000 UTC,Barat,15
8664,2022-02-01 22:59:35.000000 UTC,Barat,15
8714,2022-02-03 19:15:49.000000 UTC,Barat,15
8905,2022-02-22 22:35:09.000000 UTC,Barat,15
9160,2022-03-13 01:31:04.000000 UTC,Barat,15
9168,2022-03-14 05:33:18.000000 UTC,Barat,15
9205,2022-03-21 08:32:44.000000 UTC,Barat,15
9696,2022-05-10 06:15:25.000000 UTC,Barat,15
9950,2022-06-07 04:46:16.000000 UTC,Barat,15
10477,2022-08-11 12:30:07.000000 UTC,Barat,15
11061,2022-12-09 03:13:39.000000 UTC,Barat,15
181,2020-01-14 08:11:20.000000 UTC,Barat,16
249,2020-01-31 13:40:36.000000 UTC,Barat,16
388,2020-02-09 16:00:32.000000 UTC,Barat,16
964,2020-04-04 03:40:33.000000 UTC,Barat,16
1086,2020-04-10 15:17:19.000000 UTC,Barat,16
1150,2020-04-18 08:49:11.000000 UTC,Barat,16
1158,2020-04-18 16:25:27.000000 UTC,Barat,16
2075,2020-07-04 08:45:59.000000 UTC,Barat,16
2299,2020-07-30 15:54:10.000000 UTC,Barat,16
2452,2020-08-07 08:01:21.000000 UTC,Barat,16
2875,2020-09-11 04:46:12.000000 UTC,Barat,16
2922,2020-09-15 13:24:31.000000 UTC,Barat,16
2924,2020-09-15 11:20:15.000000 UTC,Barat,16
2977,2020-09-24 18:18:17.000000 UTC,Barat,16
3356,2020-10-26 08:04:29.000000 UTC,Barat,16
3739,2020-11-29 19:11:50.000000 UTC,Barat,16
3971,2020-12-11 18:33:42.000000 UTC,Barat,16
4945,2021-03-04 13:58:36.000000 UTC,Barat,16
5721,2021-05-03 15:35:14.000000 UTC,Barat,16
6128,2021-06-05 11:30:07.000000 UTC,Barat,16
6213,2021-06-10 15:05:32.000000 UTC,Barat,16
6403,2021-07-03 10:35:54.000000 UTC,Barat,16
6915,2021-08-14 21:56:14.000000 UTC,Barat,16
7246,2021-09-16 03:40:10.000000 UTC,Barat,16
7339,2021-09-30 20:54:04.000000 UTC,Barat,16
7374,2021-10-02 03:58:05.000000 UTC,Barat,16
7637,2021-10-27 16:37:50.000000 UTC,Barat,16
7758,2021-11-04 09:33:50.000000 UTC,Barat,16
8059,2021-12-04 03:04:14.000000 UTC,Barat,16
8341,2021-12-31 21:02:48.000000 UTC,Barat,16
8996,2022-03-05 03:06:01.000000 UTC,Barat,16
9107,2022-03-10 00:05:15.000000 UTC,Barat,16
9136,2022-03-11 11:35:28.000000 UTC,Barat,16
9269,2022-04-01 14:10:16.000000 UTC,Barat,16
9484,2022-04-17 14:51:36.000000 UTC,Barat,16
9750,2022-05-17 10:17:54.000000 UTC,Barat,16
9824,2022-06-02 07:14:19.000000 UTC,Barat,16
9888,2022-06-05 06:21:06.000000 UTC,Barat,16
9917,2022-06-05 08:13:37.000000 UTC,Barat,16
9980,2022-06-10 11:40:00.000000 UTC,Barat,16
10238,2022-07-07 17:19:52.000000 UTC,Barat,16
10319,2022-07-15 14:51:40.000000 UTC,Barat,16
10540,2022-08-29 02:10:21.000000 UTC,Barat,16
10555,2022-09-01 19:38:38.000000 UTC,Barat,16
10688,2022-09-19 13:05:25.000000 UTC,Barat,16
104,2020-01-02 23:10:45.000000 UTC,Barat,17
170,2020-01-11 12:10:33.000000 UTC,Barat,17
200,2020-01-19 05:29:18.000000 UTC,Barat,17
1190,2020-04-25 18:33:54.000000 UTC,Barat,17
1646,2020-06-02 21:06:33.000000 UTC,Barat,17
1754,2020-06-06 14:16:33.000000 UTC,Barat,17
1810,2020-06-12 22:40:15.000000 UTC,Barat,17
1986,2020-07-02 04:37:08.000000 UTC,Barat,17
2106,2020-07-07 08:51:35.000000 UTC,Barat,17
2495,2020-08-09 08:47:18.000000 UTC,Barat,17
2772,2020-09-05 08:54:15.000000 UTC,Barat,17
4358,2021-01-10 20:23:57.000000 UTC,Barat,17
4413,2021-01-18 01:02:07.000000 UTC,Barat,17
4419,2021-01-20 16:22:07.000000 UTC,Barat,17
4617,2021-02-05 22:32:53.000000 UTC,Barat,17
4781,2021-02-18 08:34:43.000000 UTC,Barat,17
4819,2021-02-24 15:16:57.000000 UTC,Barat,17
5208,2021-03-25 14:14:04.000000 UTC,Barat,17
5314,2021-04-03 08:15:51.000000 UTC,Barat,17
5746,2021-05-04 18:20:15.000000 UTC,Barat,17
5776,2021-05-04 20:03:28.000000 UTC,Barat,17
6000,2021-05-31 03:28:55.000000 UTC,Barat,17
6358,2021-07-02 04:44:48.000000 UTC,Barat,17
6629,2021-07-20 11:18:27.000000 UTC,Barat,17
7524,2021-10-09 20:40:38.000000 UTC,Barat,17
7595,2021-10-17 22:40:31.000000 UTC,Barat,17
8672,2022-02-02 06:05:24.000000 UTC,Barat,17
8895,2022-02-19 08:51:28.000000 UTC,Barat,17
8910,2022-02-24 05:59:56.000000 UTC,Barat,17
9251,2022-04-01 01:29:27.000000 UTC,Barat,17
9559,2022-05-01 04:35:07.000000 UTC,Barat,17
9795,2022-05-26 13:44:49.000000 UTC,Barat,17
9834,2022-06-03 01:04:30.000000 UTC,Barat,17
10234,2022-07-06 06:12:26.000000 UTC,Barat,17
10683,2022-09-17 12:05:25.000000 UTC,Barat,17
10950,2022-11-11 15:33:55.000000 UTC,Barat,17
10959,2022-11-16 13:38:51.000000 UTC,Barat,17
11056,2022-12-08 21:19:13.000000 UTC,Barat,17
62,2019-12-14 10:20:37.000000 UTC,Barat,18
205,2020-01-24 21:23:08.000000 UTC,Barat,18
275,2020-02-02 01:03:26.000000 UTC,Barat,18
435,2020-02-18 08:18:23.000000 UTC,Barat,18
506,2020-02-28 23:28:29.000000 UTC,Barat,18
921,2020-04-03 08:29:11.000000 UTC,Barat,18
1283,2020-05-01 22:54:41.000000 UTC,Barat,18
2351,2020-08-01 09:50:18.000000 UTC,Barat,18
2408,2020-08-05 03:02:12.000000 UTC,Barat,18
2624,2020-08-30 02:28:44.000000 UTC,Barat,18
3026,2020-10-01 03:05:21.000000 UTC,Barat,18
3373,2020-10-31 04:17:33.000000 UTC,Barat,18
4041,2020-12-15 16:45:21.000000 UTC,Barat,18
4141,2021-01-01 08:38:46.000000 UTC,Barat,18
4239,2021-01-04 09:16:23.000000 UTC,Barat,18
4285,2021-01-07 06:47:20.000000 UTC,Barat,18
4469,2021-01-31 08:12:15.000000 UTC,Barat,18
4675,2021-02-07 06:42:34.000000 UTC,Barat,18
4783,2021-02-18 00:13:51.000000 UTC,Barat,18
5171,2021-03-18 23:35:03.000000 UTC,Barat,18
5337,2021-04-03 22:44:17.000000 UTC,Barat,18
6126,2021-06-06 07:01:37.000000 UTC,Barat,18
6410,2021-07-04 08:45:52.000000 UTC,Barat,18
6759,2021-08-03 03:11:30.000000 UTC,Barat,18
7032,2021-09-02 02:11:24.000000 UTC,Barat,18
7313,2021-09-30 06:20:39.000000 UTC,Barat,18
7338,2021-10-01 10:26:18.000000 UTC,Barat,18
7480,2021-10-06 05:36:02.000000 UTC,Barat,18
7623,2021-10-24 04:31:53.000000 UTC,Barat,18
7856,2021-11-09 23:46:28.000000 UTC,Barat,18
