transactions_id,transaction_items_id,product_qty,product_amount,product_price,product_id
6,21,4,32000,8000,31
397,1076,4,32000,8000,31
1664,4617,4,32000,8000,31
1821,5084,4,32000,8000,31
2039,5691,4,32000,8000,31
2229,6256,4,32000,8000,31
2590,7288,4,32000,8000,31
2979,8454,4,32000,8000,31
3072,8707,4,32000,8000,31
3786,10764,4,32000,8000,31
3883,11055,4,32000,8000,31
3893,11084,4,32000,8000,31
4101,11679,4,32000,8000,31
4518,12915,4,32000,8000,31
4639,13274,4,32000,8000,31
5017,14394,4,32000,8000,31
5197,14938,4,32000,8000,31
5341,15376,4,32000,8000,31
5864,16894,4,32000,8000,31
6110,17628,4,32000,8000,31
6477,18665,4,32000,8000,31
6682,19266,4,32000,8000,31
6759,19483,4,32000,8000,31
8053,23546,4,32000,8000,31
8132,23790,4,32000,8000,31
8315,24362,4,32000,8000,31
8604,25327,4,32000,8000,31
8685,25595,4,32000,8000,31
8713,25676,4,32000,8000,31
8782,25890,4,32000,8000,31
9057,26761,4,32000,8000,31
9060,26777,4,32000,8000,31
9077,26828,4,32000,8000,31
9308,27571,4,32000,8000,31
9313,27591,4,32000,8000,31
9435,27971,4,32000,8000,31
9442,27990,4,32000,8000,31
9700,28805,4,32000,8000,31
9978,29679,4,32000,8000,31
10751,32192,4,32000,8000,31
10963,32836,4,32000,8000,31
11284,33783,4,32000,8000,31
11524,34543,4,32000,8000,31
11749,35259,4,32000,8000,31
11883,35693,4,32000,8000,31
12477,37497,4,32000,8000,31
12511,37599,4,32000,8000,31
12804,38426,4,32000,8000,31
13766,41275,4,32000,8000,31
13823,41435,4,32000,8000,31
14063,42130,4,32000,8000,31
14409,43094,4,32000,8000,31
14724,44024,4,32000,8000,31
15080,45040,4,32000,8000,31
15172,45297,4,32000,8000,31
15594,46446,4,32000,8000,31
16263,48348,4,32000,8000,31
16372,48656,4,32000,8000,31
16401,48749,4,32000,8000,31
16442,48852,4,32000,8000,31
16772,49735,4,32000,8000,31
16794,49793,4,32000,8000,31
17605,52054,4,32000,8000,31
17921,52908,4,32000,8000,31
18203,53675,4,32000,8000,31
18525,54536,4,32000,8000,31
18627,54821,4,32000,8000,31
18874,55472,4,32000,8000,31
19865,58085,4,32000,8000,31
20357,59527,4,32000,8000,31
20634,60361,4,32000,8000,31
20713,60601,4,32000,8000,31
20740,60701,4,32000,8000,31
20979,61421,4,32000,8000,31
21301,62336,4,32000,8000,31
21686,63531,4,32000,8000,31
21758,63749,4,32000,8000,31
21936,64265,4,32000,8000,31
22865,67058,4,32000,8000,31
23317,68375,4,32000,8000,31
23484,68865,4,32000,8000,31
23520,68983,4,32000,8000,31
23540,69046,4,32000,8000,31
23599,69234,4,32000,8000,31
24965,73302,4,32000,8000,31
25023,73477,4,32000,8000,31
25272,74220,4,32000,8000,31
25369,74484,4,32000,8000,31
25550,75018,4,32000,8000,31
26177,76896,4,32000,8000,31
26178,76899,4,32000,8000,31
26249,77108,4,32000,8000,31
27763,81632,4,32000,8000,31
27835,81836,4,32000,8000,31
28700,84486,4,32000,8000,31
29233,86053,4,32000,8000,31
29603,87084,4,32000,8000,31
29627,87149,4,32000,8000,31
29949,88026,4,32000,8000,31
30231,88856,4,32000,8000,31
30311,89069,4,32000,8000,31
30826,90499,4,32000,8000,31
31236,91673,4,32000,8000,31
31391,92133,4,32000,8000,31
31804,93249,4,32000,8000,31
31836,93336,4,32000,8000,31
32378,94734,4,32000,8000,31
32537,95129,4,32000,8000,31
32573,95205,4,32000,8000,31
32840,95843,4,32000,8000,31
33072,96397,4,32000,8000,31
33418,97250,4,32000,8000,31
33681,97905,4,32000,8000,31
33786,98157,4,32000,8000,31
34038,98801,4,32000,8000,31
34205,99221,4,32000,8000,31
34247,99329,4,32000,8000,31
34711,100438,4,32000,8000,31
34819,100670,4,32000,8000,31
35178,101544,4,32000,8000,31
35190,101571,4,32000,8000,31
37117,106151,4,32000,8000,31
37501,107087,4,32000,8000,31
37649,107451,4,32000,8000,31
37704,107572,4,32000,8000,31
49,137,2,32000,16000,50
58,165,2,32000,16000,50
